node_id,legacy_id,layer,workstream,kind,formal_state,physics_role,module,declaration,statement,assumptions,dependencies,proof_strategy,mathlib_support,mathlib_gap,effort,risk,gate,stop_condition,notes
AUD-001,,0,Audit,AUDIT,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.Audit.Build,repository_build_is_green,The pinned repository builds from a clean checkout.,Pinned Lean and mathlib revisions,,Run lake build in clean CI; record toolchain hashes.,Lake/Lean CI,none,S,low,G0,Build fails or toolchain is not reproducible.,This is the first gate; all REPORTED_EXISTING nodes remain unverified until it passes.
AUD-002,,0,Audit,AUDIT,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.Audit.Inventory,reported_bank_is_verified,Every theorem claimed as banked is imported and #checked by one audit module.,AUD-001,AUD-001,Generate an import-only audit file with #check declarations and compile it.,#check; import graph,none,S,low,G0,"Any named declaration is absent, renamed, or convention-incompatible.",Separates user-reported banked results from locally verified results.
AUD-003,,0,Audit,NO_GO,READY_TO_RUN,ENGINEERING,PhysicsSM.NullStrand.Audit.Axioms,public_capstones_have_no_unapproved_axioms,Public capstones contain no sorry/admit and depend only on an approved axiom whitelist.,AUD-001,AUD-001,Scan sources; add #print axioms checks for capstones; fail CI on forbidden tokens.,#print axioms; repository scripts,small script,S,low,G0,A public theorem depends on an undeclared axiom or sorry.,"Classical choice may be allowed; physics assumptions must be named structures, not axioms."
DEF-001,NS00,0,Conventions,DEFINITION,REPORTED_EXISTING,KINEMATIC,PhysicsSM.NullStrand.Conventions,MinkowskiConventions,"One canonical (+---) convention package for Minkowski vectors, Pauli maps, adjoints, and natural units.",AUD-002,AUD-002,Wrap existing definitions; prove conversion lemmas; deprecate duplicates.,Matrix; Complex; finite-dimensional linear algebra,possible API reconciliation,M,medium,G0,Two trusted modules require incompatible signatures or normalizations.,Do not redefine existing project types unless reconciliation is impossible.
DEF-002,,0,Conventions,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.Lorentz4,ProperOrthoChronousLorentz,Linear equivalences preserving the Minkowski form and future orientation.,DEF-001,DEF-001,Define as a linear equivalence plus form-preservation and future-cone preservation fields.,LinearEquiv; bilinear forms,time-orientation API likely custom,M,medium,G1,The definition cannot compose cleanly or act on all later fibers.,Avoid committing to a full Lie-group manifold in the finite spine.
DEF-003,,0,Conventions,NO_GO,STATEMENT_DESIGNED,ENGINEERING,PhysicsSM.NullStrand.Conventions,representation_firewall,"Pluecker scalars, Hermitian momenta, self-dual curvature spinors, and spacetime bivectors remain distinct types.",DEF-001,DEF-001,Use separate namespaces/types; provide only explicit equivalences and coercions.,AlternatingMap; Matrix; TensorProduct,none,S,low,G0,A theorem silently coerces between inequivalent representations.,This is an API rule enforced by review rather than one mathematical theorem.
KIN-001,NS01,1,NullFiber,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.Basic,nullFiber_equiv_restSphere,"For unit future-timelike U, normalized future-null k are equivalent to unit spacelike xi orthogonal to U via k=U+xi.",DEF-001,DEF-001,Expand Minkowski squares and inner products in both directions.,Linear algebra; ring_nf,none,S,low,G1,Future-directedness of U+xi cannot be proved from the chosen predicates.,Split algebraic nullity from strict future-directedness if needed.
KIN-002,NS02,1,FiniteDesign,DEFINITION,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FiniteDesign,octahedralRestDesign,"The six rest-space directions ±e1, ±e2, ±e3 with uniform weights.",DEF-001,DEF-001,Define by Fin 6 table in the standard rest frame.,Fin; Matrix; EuclideanSpace,none,S,low,G1,Coordinate definitions create excessive simplification cost.,Use rational coordinates and dedicated simp lemmas.
KIN-003,NS02,1,FiniteDesign,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FiniteDesign,octaNull_mean_eq_timelike,The octahedral null fan has mean U and isotropic second moment in the rest frame.,U is the standard rest vector,KIN-001;KIN-002,Finite sum normalization; symmetry cancellation; direct coordinates.,Finset sums; norm_num,none,S,low,G1,Normalization or factor 1/3 disagrees with conventions.,Add tetrahedral design only after this exact rational pilot is stable.
DEF-004,,1,BarycentricResolution,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.Barycentric,FiniteNullResolution,A finite probability law on normalized future-null vectors with prescribed barycenter U.,[Fintype Omega]; PMF Omega; U unit future timelike,KIN-001,"Use PMF rather than raw real weights; store nullity, normalization, and barycenter proofs.",ProbabilityMassFunction,none,S,low,G1,PMF API makes vector expectation cumbersome.,"A raw-weight wrapper may exist privately, but public APIs should use probability objects."
KIN-004,,1,BarycentricResolution,THEOREM,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.Barycentric,octahedral_isFiniteNullResolution,The octahedral design instantiates FiniteNullResolution for the rest vector.,KIN-003,KIN-003;DEF-004,Package existing moment and nullity lemmas.,PMF finite integrals,none,S,low,G1,Packaging exposes a convention mismatch.,
DEF-005,,1,BarycentricMeasure,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.NullFiber.BarycentricMeasure,NullBarycentricMeasure,A probability measure on NullFiber U whose Bochner first moment is U.,U unit future timelike,KIN-001,"Store probability, integrability, and barycenter fields.",Measure; Bochner integral,subtype/vector integration details,M,medium,G2,The identity map on the subtype is awkward to integrate.,This abstraction lets all flux theorems avoid depending on the sphere construction.
KIN-005,NS06,1,FluxFinite,DEFINITION,READY_TO_PROVE,KINEMATIC,PhysicsSM.NullStrand.NullFiber.FluxFinite,finiteFluxLaw,Observer flux-reweights a finite null resolution by (n·k)/(n·U).,n and U unit future timelike; positive inner products,DEF-004,Define a PMF after proving nonnegativity and total mass one.,PMF; finite sums,none,M,low,G1,Strict positivity lemmas for future causal vectors are missing.,Prove cone inner-product lemmas once in Lorentz4.
